SubjectID	Population
Subject_1413	EUR
Subject_1414	EUR
Subject_1415	AMR
Subject_1417	SAS
Subject_1418	EUR
Subject_1419	EUR
Subject_1420	AFR
Subject_1422	AFR
Subject_1423	SAS
Subject_1424	EUR
Subject_1425	AMR
Subject_1426	AFR
Subject_1427	EUR
Subject_1428	AFR
Subject_1429	AMR
Subject_1430	SAS
Subject_1431	AFR
Subject_1432	AFR
Subject_1433	EAS
Subject_1434	AFR
Subject_1436	SAS
Subject_1438	EAS
Subject_1439	EUR
Subject_1440	EAS
Subject_1441	AFR
Subject_1442	EUR
Subject_1443	EUR
Subject_1444	AMR
Subject_1445	AFR
Subject_1446	SAS
Subject_1447	AFR
Subject_1448	EAS
Subject_1449	EAS
Subject_1450	SAS
Subject_1451	EUR
Subject_1452	EUR
Subject_1453	EUR
Subject_1454	EUR
Subject_1455	SAS
Subject_1456	EUR
Subject_1457	SAS
Subject_1458	EAS
Subject_1459	EUR
Subject_1460	AMR
Subject_1461	EUR
Subject_1462	AFR
Subject_1463	AMR
Subject_1464	AFR
Subject_1465	EAS
Subject_1466	AFR
Subject_1468	AMR
Subject_1469	EUR
Subject_1470	EUR
Subject_1471	EAS
Subject_1472	EUR
Subject_1473	AFR
Subject_1474	SAS
Subject_1475	AFR
Subject_1476	AFR
Subject_1477	AFR
Subject_1478	SAS
Subject_1479	SAS
Subject_1480	AFR
Subject_1481	AMR
Subject_1482	AMR
Subject_1483	EAS
Subject_1484	EUR
Subject_1485	AMR
Subject_1486	EAS
Subject_1487	EUR
Subject_1489	AMR
Subject_1490	EAS
Subject_1491	AFR
Subject_1492	EUR
Subject_1493	EUR
Subject_1494	AFR
Subject_1495	EAS
Subject_1496	EAS
Subject_1497	AMR
Subject_1498	SAS
Subject_1499	AFR
Subject_1500	AFR
Subject_1501	AFR
Subject_1502	AFR
Subject_1503	EAS
Subject_1504	AFR
Subject_1505	AFR
Subject_1506	EAS
Subject_1507	EAS
Subject_1508	SAS
Subject_1509	AFR
Subject_1511	SAS
Subject_1512	AFR
Subject_1513	AMR
Subject_1514	EAS
Subject_1515	EAS
Subject_1516	AFR
Subject_1517	AFR
Subject_1519	AFR
Subject_1520	SAS
Subject_1521	AMR
Subject_1522	EAS
Subject_1523	AFR
Subject_1524	AFR
Subject_1525	EAS
Subject_1526	AFR
Subject_1527	SAS
Subject_1528	EAS
Subject_1529	EAS
Subject_1530	AFR
Subject_1531	AFR
Subject_1532	SAS
Subject_1533	AFR
Subject_1534	EUR
Subject_1535	SAS
Subject_1536	EAS
Subject_1538	AFR
Subject_1539	SAS
Subject_1540	EAS
Subject_1541	EAS
Subject_1542	EAS
Subject_1543	EAS
Subject_1544	EUR
Subject_1545	AFR
Subject_1546	EUR
Subject_1547	EUR
Subject_1548	EAS
Subject_1549	AFR
Subject_1550	AFR
Subject_1551	AMR
Subject_1552	EUR
Subject_1553	EAS
Subject_1554	AFR
Subject_1555	EUR
Subject_1556	EAS
Subject_1557	AMR
Subject_1558	AFR
Subject_1559	SAS
Subject_1560	EUR
Subject_1561	EUR
Subject_1562	EAS
Subject_1563	AFR
Subject_1564	AMR
Subject_1565	AMR
Subject_1566	SAS
Subject_1567	EUR
Subject_1568	SAS
Subject_1569	AFR
Subject_1571	EAS
Subject_1572	AMR
Subject_1573	EAS
Subject_1574	EUR
Subject_1575	AMR
Subject_1576	AMR
Subject_1577	AMR
Subject_1578	AFR
Subject_1579	EAS
Subject_1581	SAS
Subject_1582	AFR
Subject_1583	EAS
Subject_1584	EUR
Subject_1585	EAS
Subject_1586	AFR
Subject_1587	SAS
Subject_1588	EAS
Subject_1589	AMR
Subject_1590	SAS
Subject_1591	EUR
Subject_1592	AFR
Subject_1593	EUR
Subject_1594	SAS
Subject_1595	AMR
Subject_1596	SAS
Subject_1597	SAS
Subject_1598	EUR
Subject_1599	AMR
Subject_1600	AFR
Subject_1601	EAS
Subject_1602	EAS
Subject_1603	EAS
Subject_1604	SAS
Subject_1605	AMR
Subject_1606	AMR
Subject_1608	AFR
Subject_1609	SAS
Subject_1610	SAS
Subject_1612	AFR
Subject_1613	EUR
Subject_1614	SAS
Subject_1615	EUR
Subject_1616	EUR
Subject_1617	EAS
Subject_1618	EAS
Subject_1619	SAS
Subject_1620	AFR
Subject_1621	AMR
Subject_1622	SAS
Subject_1623	AFR
Subject_1624	EAS
Subject_1625	AMR
Subject_1626	AMR
Subject_1627	EUR
Subject_1628	EAS
Subject_1630	AFR
Subject_1631	AMR
Subject_1632	EAS
Subject_1633	SAS
Subject_1634	EAS
Subject_1635	EAS
Subject_1636	AFR
Subject_1637	AFR
Subject_1638	AFR
Subject_1639	AFR
Subject_1641	EUR
Subject_1642	AFR
Subject_1643	EUR
Subject_1644	EAS
Subject_1645	EUR
Subject_1646	AFR
Subject_1647	AMR
Subject_1648	EAS
Subject_1649	EUR
Subject_1650	EAS
Subject_1651	EAS
Subject_1652	EUR
Subject_1653	EUR
Subject_1654	SAS
Subject_1655	AFR
